word	pinyin	definition	pos	sentence	translation
全国	quan2, guo2	the whole country	Noun	次は全国のお天気です。	And now for the nation's weather.
地域	di4, de5, yu4	region, area	Noun	この地域は雨が多い。	There's a lot of rain in this region.
重要	zhong4, chong2, yao4, yao1	important, essential	Adjectival Noun	これは重要な書類です。	This is an important document.
姿	zi1	figure, appearance	Noun	遠くに彼女の姿が見えた。	I saw her figure from a long way away.
先ず	xian1	first	Adverb	帰ったら先ず手を洗いましょう。	When you get home, wash your hands first.
昭和	zhao1, he2, he4, huo2, huo4, huo5, hai1, he5	Showa era	Noun	私の両親は昭和生まれです。	My parents were born in the Showa era.
社会	she4, hui4, kuai4	society	Noun	これは大きな社会問題になっている。	This is a major social issue.
プログラム		program	Noun	受付でプログラムを受け取った。	I got my program at the reception.
期待	ji1, qi1, qi2, dai4	expectation, anticipation	Verbal Noun	みんな私たちに期待しています。	Everyone has high expectations of us.
力	li4	strength, power	Noun	お相撲さんは、みんな力持ちだ。	All sumo wrestlers are strong.
除く	chu2	rid of, exclude	Verb	部長を除く全員が土曜日も働いた。	Everyone except the director worked on Saturday.
一般	yi1, ban1, bo1, pan2	general, common	Noun	一般の方はこちらの席へどうぞ。	General seating is over here.
今回	jin1, hui2	this time	Noun	まあ今回は許してあげよう。	Well, I'll let you off this time.
普及	pu3, ji2	diffusion, spread	Verbal Noun	ゴミのリサイクルが普及している。	Garbage recycling has become widespread.
表現	biao3, xian4	expression	Verbal Noun	彼は歌で自分の気持ちを表現した。	He expressed his feelings in song.
作業	zuo1, zuo4, zuo2, ye4	work, operation	Verbal Noun	作業するにはもっと広いスペースが必要だ。	I need a bigger space to work.
予定	yu2, yu3, ding4	schedule, plan	Verbal Noun	今日の予定を教えてください。	Please tell me what your schedule is for today.
工場	gong1, chang2, chang3	factory, plant	Noun	彼は食品工場で働いています。	He's working at the food factory.
よく		well	Adverb	よく答えが分かりましたね。	You did well in coming up with the answer.
生産	sheng1, chan3	production	Verbal Noun	ボルドーはワインの生産で有名だ。	Bordeau is famous for wine production.
政権	zheng4, quan2	political power	Noun	政権が交代した。	There was a regime change.
技術	ji4, shu4, zhu2	skill, technology	Noun	彼は非常に高い技術を持っている。	He has very advanced skills.
まま		as is, still (in the current state)	Noun	電気がついたままですよ。	The light is still on.
完成	wan2, cheng2	completion, finish	Verbal Noun	新しいホームページが完成した。	We finished our new home page.
変化	bian4, hua4	change	Verbal Noun	今年は変化の多い年でした。	There was a lot of change this year.
存在	cun2, zai4	existence, being	Verbal Noun	宇宙人は存在すると思いますか。	Do you think that aliens exist?
参加	can1, cen1, shen1, jia1	participation	Verbal Noun	明日は市民マラソンに参加します。	I'll participate in the citizens' marathon tomorrow.
テレビ		television	Noun	私はテレビをあまり見ません。	I don't watch much TV.
土地	tu3, di4, de5	land	Noun	ここは父の土地です。	This is my father's land.
減る	jian3	decrease, diminish	Verb	体重がかなり減りました。	I've lost a lot of weight.
検討	jian3, tao3	consideration, inspection	Verbal Noun	今日中にこの問題を検討してください。	Please consider this problem by the end of the day.
政治	zheng4, zhi4	politics	Noun	私は政治に関心がある。	I'm interested in politics.
実施	shi2, shi1	enforcement, implementation	Verbal Noun	現在、スペシャルキャンペーンを実施中です。	A special campaign is now under way.
開始	kai1, shi3	beginning	Verbal Noun	運動会は9時開始です。	The athletic meet begins at nine o'clock.
備える	bei4	provide for, furnish	Verb	災害に備えて大量の水を買い込んだ。	I bought large quantities of water to prepare for disasters.
輸入	shu1, ru4	import	Verbal Noun	これはイタリアから輸入した服です。	These clothes are imported from Italy.
最大	zui4, da4, dai4	biggest, largest	Noun	これは世界最大の船です。	This is the world's largest ship.
競争	jing4, zheng1	competition	Verbal Noun	2社は互いに競争している。	Two companies are competing with each other.
部分	bu4, fen1, fen4	part, section	Noun	この部分は問題ないです。	There's no problem with this part.
消える	xiao1	be extinguished, disappear	Verb	突然、電気が消えた。	Suddenly the electricity went out.
家族	jia1, gu1, zu2	family, household	Noun	うちは五人家族です。	We're a family of five.
内容	nei4, rong2	contents	Noun	この本の内容を説明してください。	Please explain the content of this book.
比べる	bi3, bi4	compare, contrast	Verb	今月と先月の売上を比べた。	I compared this month's sales with last month's.
生まれる	sheng1	be born, come into existence	Verb	姉夫婦に男の子が生まれました。	My sister and her husband had a baby boy.
与える	yu3, yu4	give	Verb	そのニュースは彼に大きなショックを与えた。	The news gave him a great shock.
選挙	xuan3, ju3	election	Verbal Noun	彼は選挙に出るつもりだ。	He intends to run in the election.
対立	dui4, li4	opposition, antagonism	Verbal Noun	その2社は対立しています。	The two companies are against each other.
理由	li3, you2	reason, cause	Noun	遅れた理由を教えてください。	Please tell me why you were late.
構成	gou4, cheng2	organization	Verbal Noun	システムの構成を変えてみました。	I've tried to reorganize the system.
管理	guan3, li3	management, administration	Verbal Noun	彼女が私のスケジュールを管理している。	She manages my schedule.
増加	zeng1, jia1	increase, gain	Verbal Noun	島の人口は年々増加しています。	The population of the island increases every year.
改革	gai3, ge2, ji2, ji3	reform	Verbal Noun	彼は行政を改革したいと思っている。	He wants to reform the administration.
会談	hui4, kuai4, tan2	conversation, meeting	Verbal Noun	会談の内容が発表されました。	The content of the talks was announced.
会長	hui4, kuai4, chang2, zhang3	president, chairperson	Noun	初めに会長が挨拶した。	First was the chairman's greetings.
ソフト		software, programme	Noun	このソフトで日本語を勉強することができます。	You can study Japanese with this software.
提供	ti2, di1, shi2, gong1, gong4	offer, provide	Verbal Noun	彼がパーティー会場を提供してくれました。	He provided us with the venue for the party.
ただ		free	Noun	この温泉はただです。	This hot spring is free.
これら		these	Noun	今日はこれらの問題について話し合います。	We will discuss these issues today.
広がる	guang3, an1	spread out, reach	Verb	留学してから私の世界が広がった。	My world expanded after studying abroad.
特徴	te4, zheng1	distinctive feature, characteristic	Noun	この曲線がこの車の特徴です。	These curves are a unique feature of this car.
調べる	diao4, tiao2	investigate, check	Verb	この単語の意味を辞書で調べましょう。	Let's look up the meaning of this word in the dictionary.
強調	qiang2, jiang4, qiang3, diao4, tiao2	emphasis, stress	Verbal Noun	彼は良いところだけを強調した。	He only emphasized the strong points.
制度	zhi4, du4, duo2, duo4	system, organization	Noun	来年から新しい制度が始まります。	A new system will start from next year.
方針	fang1, zhen1	course, policy	Noun	今後の方針が決まった。	We've decided our future policy.
従来	cong2, lai2	former, old	Noun	このプリンターは従来のものより速い。	This printer prints faster than previous models.
いずれ		eventually, sometime	Adverb	いずれまたお会いしましょう。	Let's meet again sometime.
事故	shi4, gu4	accident, incident	Noun	彼は事故で怪我をしました。	He was injured in the accident.
電話	dian4, hua4	telephone, phone call	Verbal Noun	あとで電話します。	I will call you later.
外国	wai4, guo2	foreign country	Noun	母はまだ外国に行ったことがありません。	My mother hasn't been abroad yet.
目的	mu4, de5, di2, di4	object, purpose	Noun	彼が来た目的が分かりません。	I don't know the purpose of his visit.
自由	zi4, you2	freedom	Adjectival Noun	今日は自由な時間が多い。	I have a lot of free time today.
資金	zi1, jin1	funds, capital	Noun	私たちは今、結婚資金を貯めています。	We're saving for the wedding now.
銀行	yin2, xing2, hang2, hang4, xing4	bank	Noun	銀行は3時まで開いています。	The bank is open until three o'clock.
事実	shi4, shi2	fact, truth	Noun	それは全て事実ですか。	Is it all true?
決定	jue2, ding4	decision, settlement	Verbal Noun	会議で重要な決定がありました。	An important decision was made at the conference.
方向	fang1, xiang4	direction, course	Noun	あの人たちは皆、同じ方向を見ている。	Those people are all looking in the same direction.
住宅	zhu4, zhai2, zhe4	housing, residence	Noun	ここは静かな住宅地だ。	This is a quiet residential area.
代表	dai4, biao3	representative	Verbal Noun	彼がクラスの代表だ。	He's the class representative.
激しい	ji1	violent, intense	Adjective	激しい雨が降っています。	A very heavy rain is falling.
株	zhu1	stocks, shares	Noun	最近株を始めました。	I recently started investing in stocks.
交渉	jiao1, she4	negotiation, bargaining	Verbal Noun	今、値段を交渉しています。	We're currently negotiating the price.
結果	jie2, jie1, guo3	result, outcome	Noun	試合の結果を早く知りたい。	I want to know soon the results of the game.
全体	quan2, ti3, ben4	whole, total	Noun	全体の80パーセントが完成しました。	80 percent of the total was completed.
後	hou4	after, afterwards	Noun	後に彼は総理大臣になりました。	He would later become Prime Minister.
命令	ming4, ling4, ling2, ling3	command, order	Verbal Noun	彼女は命令に従わなかった。	She did not obey orders.
十分	shi2, fen1, fen4	full, plentiful	Adjectival Noun	お金はまだ十分あります。	We still have plenty of money.
あまり		(not) much	Adverb	このビールはあまり美味しくありません。	This beer isn't very good.
経営	jing1, jing4, ying2	management, operation	Verbal Noun	我が社の経営はうまくいっています。	Our company is well managed.
原因	yuan2, yin1	cause, origin	Noun	この事故の原因は何ですか。	What's the cause of the accident?
写真	xie3, zhen1	photograph	Noun	写真は良い思い出になります。	Photographs make a good souvenir.
立場	li4, chang2, chang3	standpoint, position	Noun	彼女は自分の立場を分かっていない。	She doesn't understand her position.
対策	dui4, ce4	measure, action	Noun	一緒に対策を考えましょう。	Let's think together about what measures we'll take.
繰り返す	qiao1, zao3, fan3	repeat	Verb	彼女は同じ間違いを繰り返した。	She repeated the same mistake.
評価	ping2, jia4, jie4	evaluation, appraisal	Verbal Noun	最近、彼の評価が上がった。	He's been receiving more recognition lately.
なお		still, in addition	Adverb	なお、雨の場合は中止です。	Moreover, it will be canceled in the event of rain.
計算	ji4, suan4	calculation	Verbal Noun	その計算は間違っている。	That calculation is wrong.
投資	tou2, zi1	investment	Verbal Noun	私は4つの会社に投資しています。	I'm investing in four companies.
可能	ke3, ke4, neng2	possible, potential	Adjectival Noun	20キロのダイエットは可能だと思いますか。	Do you think it's possible to go on a twenty kilogram diet?
加える	jia1	add, include	Verb	塩、コショウを加えてください。	Please add the salt and pepper.
種類	zhong3, chong2, zhong4, lei4	kind, species	Noun	バラには色々な種類があります。	There are many varieties of rose.
強化	qiang2, jiang4, qiang3, hua4	strengthening	Verbal Noun	国は国語教育を強化しています。	Our government is strengthening its program in native language education.
意見	yi4, jian4, xian4	opinion	Noun	あなたの意見が聞きたいです。	I want to hear your opinion.
伴う	ban4	accompany, go with	Verb	その仕事は危険を伴う。	Danger comes with the job.
新聞	xin1, wen2, wen4	newspaper	Noun	今日の新聞、どこに置いた?	Where did you put today's newspaper?
文章	wen2, wen4, zhang1	writing, prose	Noun	彼は文章がとてもうまい。	His writing is very good.
目立つ	mu4, li4	stand out, be conspicuous	Verb	彼女の大きな帽子はとても目立つ。	Her big hat really stands out.
設計	she4, ji4	design, plan	Verbal Noun	兄は船の設計をしています。	My big brother is designing a ship.
構造	gou4, zao4	construction, structure	Noun	この建物の構造は複雑です。	The structure of this building is complex.
国会	guo2, hui4, kuai4	National Diet, parliament	Noun	国会が再開した。	The Diet reconvened.
ほぼ		almost, nearly	Adverb	仕事がほぼ終わりました。	My work is almost finished.
相手	xiang1, xiang4, shou3	opponent	Noun	試合の相手は誰ですか。	Who are they playing against?
発生	fa1, sheng1	occurrence, happening	Verbal Noun	交差点で事故が発生した。	There was an accident at the intersection.
採用	cai3, yong4	employment	Verbal Noun	その会社は女性を多く採用している。	This company employs many women.
残る	can2	remain, be left over	Verb	料理がたくさん残りました。	A lot of food was left over.
段階	duan4, jie1	stage	Noun	この段階では、決断するのはまだ早い。	At this stage, it is still early to decide.
報告	bao4, gao4, gu4	report	Verbal Noun	昨日の会議について報告があります。	There's a report about yesterday's conference.
商品	shang1, pin3	goods, commodities	Noun	この商品はよく売れている。	This product is selling well.
都市	du1, dou1, shi4	cities, urban community	Noun	東京は日本一大きな都市です。	Tokyo is the largest city in Japan.
病院	bing4, yuan4	hospital	Noun	病院はどこですか。	Where is the hospital?
規模	gui1, mo2, mu2	scale, scope	Noun	この動物園は日本一の規模です。	This is the largest zoo in Japan.
業者	ye4, zhe3	businessman	Noun	引っ越しを業者に頼んだ。	I asked a company to handle my move.
経験	jing1, jing4, yan4	experience	Verbal Noun	今日の試合はいい経験になりました。	Today's game was a good experience.
能力	neng2, li4	ability, capacity	Noun	彼は能力のある社員です。	He's a resourceful employee.
最初	zui4, chu1	first, outset	Noun	5ページの最初を見てください。	Please look at the beginning of page 5.
国際	guo2, ji4	international	Noun	ここで国際会議が開かれます。	An international conference is going to be held here.
議員	yi4, yuan2, yun2, yun4	legislator	Noun	彼は国会議員です。	He's a congressman.
記者	ji4, zhe3	journalist, reporter	Noun	彼は新聞記者です。	He's a newspaper journalist.
場所	chang2, chang3, suo3	place, space	Noun	会社の場所を教えてください。	Please tell me where the office is.
運動	yun4, dong4	movement, exercise	Verbal Noun	彼はもっと運動した方がいい。	He should exercise more.
サービス		service, on the house	Verbal Noun	この店はサービスがいい。	The service in this store is good.
集まる	ji2	gather, be collected	Verb	駅前に人が集まっています。	Lots of people are gathered in front of the station.
政策	zheng4, ce4	policy, political measures	Noun	新しい政策はあまり良いとは思えません。	I don't think the new policy is very good.
車	che1, ju1	car	Noun	この道は車が多い。	There are many cars on this road.
拡大	kuo4, da4, dai4	magnification, enlargement	Verbal Noun	この図を拡大コピーしてください。	Please make an enlargement of this chart.
進む	jin4	advance, move forward	Verb	前に進んでください。	Please move forward.
達する	da2	attain, reach	Verb	気温は35度に達した。	The temperature reached 35 degrees.
会議	hui4, kuai4, yi4	conference, meeting	Verbal Noun	今日の午後、大事な会議があります。	There's an important meeting this afternoon.
装置	zhuang1, zhi4	equipment, device	Noun	実験にはこの装置を使います。	We use this device in our experiments.
主張	zhu3, zhang1	insistence, assertion	Verbal Noun	上司は私の主張を受け入れた。	My boss accepted my argument.
記録	ji4, lu4	record, documentation	Verbal Noun	マラソンで世界記録が出た。	There was a new world record in the marathon.
年度	nian2, du4, duo2, duo4	year, school year	Noun	売り上げは年度によって違います。	Sales differ by fiscal year.
産業	chan3, ye4	industry	Noun	日本の自動車産業は世界的に有名だ。	The Japanese auto industry is famous worldwide.
背景	bei4, bei1, jing3, ying3	background, scenery, setting	Noun	事件の背景に何があったのだろう。	I wonder what was behind the incident.
材料	cai2, liao4	material, factor	Noun	サラダの材料をそろえました。	I have all the ingredients for the salad.
要求	yao4, yao1, qiu2	requirement, demand	Verbal Noun	彼は私の要求にこたえた。	He answered my demands.
市民	shi4, min2	citizens, townsmen	Noun	市民の安全は大切だ。	The citizens' safety is important.
世紀	shi4, ji4	century	Noun	新しい世紀の始まりです。	It's the start of a new century.
大幅	da4, dai4, fu2	drastically, substantially	Adverb	計画を大幅に変更した。	We substantially changed the plan.
加工	jia1, gong1	processing, manufacturing	Verbal Noun	この工場では魚を加工している。	This factory processes fish.
実行	shi2, xing2, hang2, hang4, xing4	practice, execution	Verbal Noun	彼はその計画を実行した。	He executed the plan.
判断	pan4, duan4	judgment, decision	Verbal Noun	彼の判断は正しい。	His judgment is correct.
組織	zu3, zhi1	organization, constitution, tissue	Verbal Noun	彼はある組織のリーダーだ。	He's the leader of a certain organization.
輸出	shu1, chu1	export	Verbal Noun	彼の会社は車を輸出しています。	His company exports cars.
警察	jing3, cha2	police	Noun	警察を呼んでください。	Call the police.
伝える	yun2	convey, transmit, hand down	Verb	みんなにこのことを伝えてください。	Please tell everyone about this matter.
公開	gong1, kai1	opening (to the public)	Verbal Noun	その映画は今日、公開されます。	The movie opens to the public today.
向かう	xiang4	face, confront, head toward	Verb	今、会社に向かっています。	I'm heading for the office right now.
直す	zhi2	repair, cure, alter	Verb	私がそれを直しました。	I mended it.
具体的	ju4, ti3, ben4, de5, di2, di4	concrete, specific	Adjectival Noun	具体的な例をいくつか見せてください。	Please show me some concrete examples.
願う	yuan4	wish, ask a favor, apply for	Verb	彼が元気になるよう願っています。	We're praying that he gets well.
グループ		group	Noun	店に学生のグループが来た。	A group of students came to the shop.
個人	ge4, ge5, ren2	individual	Noun	これは私個人の意見です。	This is my personal opinion.
基づく	ji1	be based on	Verb	この話は真実に基づいています。	This story is based on truth.
全く	quan2	entirely, truly, indeed	Adverb	私には全く分かりません。	I don't understand at all.
見方	jian4, xian4, fang1	view, way of looking	Noun	彼に対する見方が変わりました。	My view of him has changed.
姿勢	zi1, shi4	posture, attitude	Noun	あの子はいつも姿勢が悪い。	That kid always has bad posture.
協力	xie2, li4	cooperation, collaboration	Verbal Noun	このプロジェクトにはみんなの協力が必要です。	This project requires everyone's cooperation.
担当	dan4, dan1, dan3, dang1, dang4	person in charge	Verbal Noun	私はセールスを担当しています。	I'm in charge of sales.
提案	ti2, di1, shi2, an4	proposition, proposal	Verbal Noun	そのアイデアは彼の提案です。	He's the one who proposed that idea.
最後	zui4, hou4	last, final	Noun	今日が夏休み最後の日だ。	Today's the last day of summer vacation.
招く	zhao1	invite, beckon, engage	Verb	両親を食事に招いた。	I invited my parents to a meal.
ホテル		hotel	Noun	今ホテルに着きました。	I arrived at the hotel just now.
再び	zai4	again, a second time	Adverb	彼は再びここに戻ってきた。	He came back here once again.
上昇	shang4, shang3, sheng1	ascension, rising	Verbal Noun	地球の気温は上昇している。	The temperature of the earth is rising.
機械	ji1, xie4	machine	Noun	新しい機械が壊れた。	The new machine broke.
注目	zhu4, mu4	attention, notice	Verbal Noun	私たちはその会社に注目している。	We have our eyes on that company.
過去	guo4, guo1, qu4	the past	Noun	それは過去の話だ。	That's in the past now.
作品	zuo1, zuo4, zuo2, pin3	work of art, piece	Noun	この絵はゴッホの作品だ。	This painting is one of van Gogh's works.
直接	zhi2, jie1	directly	Adverb	彼に直接お願いしなさい。	Ask him directly.
批判	pi1, pan4	criticism, comment	Verbal Noun	彼は同僚を批判した。	He criticized his colleague.
文化	wen2, wen4, hua4	culture	Noun	私はこの国の文化を勉強しています。	I'm studying this country's culture.
施設	shi1, she4	facilities, institution	Noun	そのホテルにはレジャー施設がたくさんある。	There are a lot of leisure facilities in the hotel.
成功	cheng2, gong1	success	Verbal Noun	ついに実験が成功した。	The experiment finally succeeded.
実際	shi2, ji4	truth, actual state	Adverb	彼は実際にはあまり背が高くない。	Actually, he's not very tall.
当然	dang1, dang4, ran2	natural, as a matter of course	Adjectival Noun	彼女が怒るのも当然だ。	It's natural that she should be angry.
年間	nian2, jian1, jian4	period of one year	Noun	年間5万人がここを訪れます。	This place gets 50,000 visitors a year.
簡単	jian3, dan1, chan2	simple, easy	Adjectival Noun	この料理はとても簡単です。	This dish is very easy to make.
迫る	po4, pai3	press, close in on, be imminent	Verb	締め切りが迫っています。	The deadline is approaching.
まとめる		gather together, put in order	Verb	彼女は荷物をまとめて出て行った。	She packed her luggage and left.
占める	zhan1, zhan4	occupy, hold	Verb	私に届くメールのうち、迷惑メールが7割を占めている。	About 70 percent of emails sent to me are junk.
残す	can2	leave, reserve, leave undone	Verb	彼女はメッセージを残しました。	She left a message.
言語	yan2, yu3, yu4	language, speech	Noun	彼はアジアの言語を研究している。	He's doing research in Asian languages.
教育	jiao4, jiao1, yu4	education	Verbal Noun	彼は海外で教育を受けました。	He received his education abroad.
他	ta1	others, other things	Noun	留学生はアジア人が多く、その他は3割です。	The majority of foreign students are Asian, with 30 percent from other regions.
取引	qu3, yin3	transaction, dealings	Verbal Noun	私たちは中国の会社と取引しています。	We're dealing with a Chinese company.
自動車	zi4, dong4, che1, ju1	automobile	Noun	彼は自動車会社に就職した。	He got a job at a car company.
反対	fan3, dui4	oppose, object	Verbal Noun	私は反対です。	I'm against it.
若者	ruo4, re3, zhe3	young person, youth	Noun	最近の若者は本を読まない。	Young people these days don't read books.
分	fen1, fen4	amount, part, share	Noun	このケーキはあなたの分です。	This is your share of the cake.
課題	ke4, ti2	task, problem	Noun	夏休みの課題は何ですか。	What's our summer assignment?
通常	tong1, tong4, chang2	common, ordinary	Noun	通常は夜8時まで営業しています。	We're usually open until eight o'clock at night.
同様	tong2, tong4, yang4	similar	Adjectival Noun	私たちは彼を家族同様に思っている。	We think of him just like family.
程度	cheng2, du4, duo2, duo4	degree, extent	Noun	この程度の怪我なら大丈夫です。	With an injury of this small extent, she's going to be fine.
当たる	dang1, dang4	hit, strike	Verb	ボールが彼の頭に当たった。	The ball hit him on the head.
訴える	su4	sue	Verb	彼女は会社を訴えた。	She sued the company.
事情	shi4, qing2	circumstances, conditions	Noun	あなたの事情はよく分かりました。	I understand your situation well.
発言	fa1, yan2	utterance, speech	Verbal Noun	会議で全員が発言した。	Everyone spoke at the conference.
傾向	qing1, qing2, xiang4	tendency, disposition	Noun	最近の若者は難しい本を読まない傾向がある。	Young people these days tend not to read difficult books.
開催	kai1, cui1	holding (of an event), opening	Verbal Noun	京都で国際会議が開催された。	An international conference was held in Kyoto.
文字	wen2, wen4, zi4	character, letter	Noun	壁に文字が書いてあった。	There was some writing on the wall.
子	zi3, zi2, zi5	child, kid	Noun	その子は日本語が分からない。	That kid doesn't understand Japanese.
述べる	shu4	state orally, expound, mention	Verb	上司が意見を述べた。	Our boss gave us his opinion.
活動	huo2, dong4	activity	Verbal Noun	彼は地域の活動に参加した。	He took part in local activities.
期間	ji1, qi1, qi2, jian1, jian4	term, period	Noun	テスト期間は10日から15日までだ。	The test period is from the 10th to the 15th.
一定	yi1, ding4	constant, standard	Verbal Noun	申し込むには一定の資格が要る。	You need certain qualifications to apply.
住民	zhu4, min2	residents, dwellers	Noun	地域の住民が集まって話合いをした。	The local residents got together and talked.
届く	jie4	reach, be received	Verb	昨日、父から手紙が届いた。	I got a letter from my father yesterday.
やはり		as expected, also, still	Adverb	彼はやはり遅刻しました。	He was late, as expected.
効果	xiao4, guo3	effect, result	Noun	この薬には胃を守る効果がある。	This medicine is effective in protecting your stomach.
状況	zhuang4, kuang4	state of affairs, conditions	Noun	この状況では出発は難しいです。	It will be difficult to depart in these conditions.
確認	que4, ren4	confirmation	Verbal Noun	もう一度、予約を確認した。	I confirmed my reservation one more time.
位置	wei4, zhi4	position, place	Verbal Noun	私の町は東京の北に位置します。	My town is located north of Tokyo.
はっきり		clearly	Adverb	今日は山がはっきり見える。	You can see the mountains clearly today.
つまり		in short, basically	Adverb	つまり、あなたは何も知らないのですね。	So, basically, you don't know anything.
通過	tong1, tong4, guo4, guo1	passing, passage	Verbal Noun	次の駅は通過します。	This train will not stop at the next station.
深い	shen1	deep, profound, intimate	Adjective	あの池はとても深い。	That pond is very deep.
候補	hou4, bu3	candidacy, candidate	Noun	会長の候補は3人います。	There are three candidates for chairman.
選手	xuan3, shou3	representative athlete	Noun	彼はプロのサッカー選手だ。	He's a professional soccer player.
音	yin1	sound, noise	Noun	雨の音が聞こえる。	I can hear the sound of rain.
大会	da4, dai4, hui4, kuai4	mass meeting, tournament	Noun	夏には川辺で花火大会があります。	There are fireworks by the river in summer.
基本	ji1, ben3	basis, foundation	Noun	今、ジャズダンスの基本を習っています。	We're learning the basics of jazz dance at the moment.
契約	qi4, xie4, qie4, yue1, yao1	contract, agreement	Verbal Noun	その選手は新しいチームと契約した。	That player signed a contract with a new team.
発見	fa1, jian4, xian4	discovery, revelation	Verbal Noun	新しい星が発見された。	A new star was discovered.
当時	dang1, dang4, shi2	at that time, at the present time	Noun	彼女は当時、まだ3才だった。	She was only three years old at the time.
自宅	zi4, zhai2, zhe4	one's house, one's home	Noun	自宅に電話を下さい。	Please call home.
空気	kong1, kong4, qi4	air, atmosphere	Noun	ここは空気がきれいです。	The air here is clean.
設ける	she4	set up, establish	Verb	授業の終わりに復習の時間を設けた。	I set up a review time at the end of class.
歴史	li4, shi3	history	Noun	私は歴史に興味があります。	I'm interested in history.
各国	ge4, guo2	every country	Noun	各国の代表がニューヨークに集まった。	Each country's representatives assembled in New York.
特に	te4	specially, particularly	Adverb	特に質問はありません。	I don't particularly have any questions.
実験	shi2, yan4	experiment	Verbal Noun	科学の授業で実験をした。	We did an experiment in science class.
訪れる	fang3	visit, call on	Verb	私は夏に京都を訪れました。	I visited Kyoto this summer.
建物	jian4, wu4	building, structure	Noun	これは日本一古い建物です。	This is the oldest building in Japan.
ビル		building	Noun	私の会社はあのビルの8階です。	My company's on the eighth floor of that building.
彼ら	bi3	they	Noun	彼らはバスケットの選手です。	They're basketball players.
少年	shao3, shao4, nian2	boy	Noun	少年たちがサッカーをしている。	The boys are playing soccer.
諸国	zhu1, guo2	various countries	Noun	彼はヨーロッパ諸国を旅行した。	He traveled through various European countries.
もちろん		of course, no doubt	Adverb	もちろん一緒に行きます。	Of course I'll go with you.
事務所	shi4, wu4, suo3	office, one's place of business	Noun	後で事務所に来てください。	Please come to the office later.
責任	ze2, zhai4, ren4, ren2	responsibility, liability	Noun	彼は失敗の責任を取って、会社を辞めた。	He took responsibility for the mistake and resigned from the company.
かつて		once, formerly	Adverb	かつて私が学生だった頃のことです。	That was when I was still a student.
限る	xian4	be limited to	Verb	このサービスは週末に限ります	This service is limited to weekends.
海外	hai3, wai4	overseas, abroad	Noun	彼は海外での生活が長いです。	He's lived abroad for a long time.
条件	tiao2, jian4	condition, item	Noun	この条件では厳し過ぎます。	It's too harsh under these conditions.
家庭	jia1, gu1, ting2	home, family	Noun	彼は家庭を大切にしている。	He values his family.
教授	jiao4, jiao1, shou4	professor	Noun	彼は化学の教授です。	He's a chemistry professor.
人口	ren2, kou3	population	Noun	その国の人口はどのくらいですか。	What's the population of that country?
海	hai3	sea, ocean	Noun	海は広くて大きい。	The sea is vast and wide.
基準	ji1, zhun3	standard, criterion	Noun	判断の基準が示された。	The standards of judgment were outlined.
攻撃	gong1, ji1	attack, criticism	Verbal Noun	2003年にアメリカはイラクを攻撃した。	The United States attacked Iraq in 2003.
時代	shi2, dai4	age, antiquity	Noun	今は便利さとスピードの時代だ。	This is the age of convenience and speed.
時期	shi2, ji1, qi1, qi2	time, season	Noun	今はあなたにとって大事な時期です。	It's an important time for you now.
製造	zhi4, zao4	production, manufacture	Verbal Noun	この工場ではエアコンを製造しています。	This factory manufactures air conditioning units.
大型	da4, dai4, xing2	large, large scale	Noun	大型のテレビを買った。	We bought a large television.
周辺	zhou1, bian1	environs, circumference	Noun	この周辺には大学が多い。	There are a lot of universities in this area.
異なる	yi4	differ	Verb	彼と私はいつも意見が異なる。	He and I always have different opinions.
逮捕	dai4, dai3, bu3	arrest, capture	Verbal Noun	逃げていた犯人が逮捕されました。	They arrested that criminal who escaped.
関連	guan1, lian2	connection, relation	Verbal Noun	関連のセクションへ連絡した。	I contacted the related sections.
貿易	mao4, yi4	trade, commerce	Verbal Noun	父は貿易の仕事をしています。	My father works in the trading business.
社員	she4, yuan2, yun2, yun4	staff member, employee	Noun	彼は優秀な社員です。	He's an excellent employee.
結合	jie2, jie1, he2	combination, joining	Verbal Noun	ファイルを結合して1つにしました。	I consolidated the files into just one.
自然	zi4, ran2	nature	Noun	みんなで自然を守りましょう。	Let's all work to protect Nature.
スポーツ		sport	Noun	あなたは何かスポーツをしていますか。	Which sport do you play?
患者	huan4, zhe3	patient	Noun	患者は眠っています。	The patient is sleeping.
なぜ		why, for what reason	Adverb	なぜ来なかったの。	Why didn't you come?
映画	ying4, hua4	movie	Noun	彼はよく映画を見ます。	He often watches movies.
並ぶ	bing4	line up, be parallel	Verb	ここに並んでください。	Please line up here.
生徒	sheng1, tu2	pupil, student	Noun	このクラスの生徒は30人です。	There are 30 students in this class.
そのまま		like that, unchanged	Adverb	そのままお待ちください。	Please just wait a bit.
今度	jin1, du4, duo2, duo4	this time, next time	Noun	今度はどこに行きたいですか。	Where do you want to go this time?
分ける	fen1, fen4	divide into parts, sort, share	Verb	お菓子をみんなで分けました。	We shared the sweets with everyone.
運ぶ	yun4	carry, transport	Verb	いすを二階に運んでください。	Please carry the chair to the second floor.
複雑	fu4, za2	complicated, intricate	Adjectival Noun	このプログラムはとても複雑です。	This program is very complicated.
回る	hui2	turn round, go round, detour	Verb	月は地球のまわりを回っています。	The moon spins around the earth.
高校	gao1, xiao4, jiao4	high school	Noun	妹は高校に通っています。	My little sister goes to high school.
工事	gong1, shi4	construction	Verbal Noun	工事の音がうるさい。	The construction site is noisy.
